date,close,open,high,low,volume
2024-08-05,395.15,389.17,401.04,385.58,40709238.0
2024-08-06,399.61,400.0,405.67,398.5,24946525.0
2024-08-07,398.43,408.64,410.08,397.47,20650906.0
2024-08-08,402.69,402.44,405.86,399.94,20203030.0
2024-08-09,406.02,404.03,408.05,402.26,19276700.0
2024-08-12,406.81,407.06,408.76,404.24,16762900.0
2024-08-13,414.01,409.59,414.95,409.57,19414300.0
2024-08-14,416.86,414.8,417.72,412.45,18267000.0
2024-08-15,421.03,419.8,421.11,417.66,20752144.0
2024-08-16,418.47,420.6,421.34,417.3,22775600.0
2024-08-19,421.53,418.96,421.75,416.46,15234000.0
2024-08-20,424.8,421.7,425.86,421.64,16387600.0
2024-08-21,424.14,424.08,426.4,421.72,16067300.0
2024-08-22,415.55,424.36,426.79,414.61,19361901.0
2024-08-23,416.79,416.98,419.26,412.09,18493800.0
2024-08-26,413.49,416.37,417.28,411.34,13152830.0
2024-08-27,413.84,412.86,414.36,410.25,13492911.0
2024-08-28,410.6,414.88,415.0,407.31,14882700.0
2024-08-29,413.12,414.94,422.05,410.6,17045241.0
2024-08-30,417.14,415.6,417.49,412.13,24308324.0
2024-09-03,409.44,417.91,419.88,407.03,20313603.0
2024-09-04,408.9,405.91,411.24,404.37,15135806.0
2024-09-05,408.39,407.62,413.1,406.13,14195516.0
2024-09-06,401.7,409.06,410.65,400.8,19609526.0
2024-09-09,405.72,407.24,408.65,402.15,15295134.0
2024-09-10,414.2,408.2,416.33,407.7,19594300.0
2024-09-11,423.04,415.5,423.99,409.58,19266923.0
2024-09-12,427.0,423.31,427.37,419.75,17418800.0
2024-09-13,430.59,425.83,431.83,425.46,15874600.0
2024-09-16,431.34,430.6,433.53,428.22,13834700.0
2024-09-17,435.15,440.23,441.85,432.27,18874231.0
2024-09-18,430.81,435.0,436.03,430.41,18898042.0
2024-09-19,438.69,441.23,441.5,436.9,21706600.0
2024-09-20,435.27,437.22,439.24,434.22,55167106.0
2024-09-23,433.51,434.28,436.46,430.39,15128900.0
2024-09-24,429.17,433.0,433.35,426.1,17015800.0
2024-09-25,432.11,429.83,433.12,428.57,13396400.0
2024-09-26,431.31,435.09,435.3,429.13,14492044.0
2024-09-27,428.02,431.52,431.85,427.47,14896131.0
2024-09-30,430.3,428.21,430.42,425.37,16854606.0
2024-10-01,420.69,428.45,428.48,418.81,19092945.0
2024-10-02,417.13,422.58,422.82,416.71,16582300.0
2024-10-03,416.54,417.63,419.55,414.29,13686421.0
2024-10-04,416.06,418.24,419.75,414.97,19190913.0
2024-10-07,409.54,416.0,417.11,409.0,20919800.0
2024-10-08,414.71,410.9,415.66,408.17,19229300.0
2024-10-09,417.46,415.86,420.38,414.3,14974300.0
2024-10-10,415.84,415.23,417.35,413.15,13848400.0
2024-10-11,416.32,416.14,417.13,413.25,14144944.0
2024-10-14,419.14,417.77,424.04,417.52,16653100.0
2024-10-15,418.74,422.18,422.48,415.26,18900201.0
2024-10-16,416.12,415.17,416.36,410.48,15508932.0
2024-10-17,416.72,422.36,422.5,415.59,14820004.0
2024-10-18,418.16,417.14,419.65,416.26,17145317.0
2024-10-21,418.78,416.12,418.96,413.75,14206115.0
2024-10-22,427.51,418.49,430.58,418.04,25482200.0
